0.945 ± 0.002,[0.94570133 0.94534449 0.94680963 0.94178351 0.94429945],beta 0.5,temperature 1,nfactor 1,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.959 ± 0.002,[0.95903593 0.95838935 0.95901741 0.96195498 0.95500489],beta 0.5,temperature 1,nfactor 2,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.965 ± 0.002,[0.96545404 0.96242158 0.96341357 0.96618277 0.96673984],beta 0.5,temperature 1,nfactor 3,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.966 ± 0.000,[0.96617141 0.96637494 0.96573556 0.96567157 0.96535529],beta 0.5,temperature 1,nfactor 4,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.968 ± 0.001,[0.96884493 0.96744371 0.96763344 0.96757752 0.97011477],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.969 ± 0.001,[0.96958756 0.96888377 0.96765922 0.96891025 0.96933539],beta 0.5,temperature 1,nfactor 6,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.970 ± 0.001,[0.96964192 0.96916652 0.9708613  0.97007039 0.97029565],beta 0.5,temperature 1,nfactor 7,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.970 ± 0.001,[0.96974276 0.97175763 0.96965481 0.9699165  0.96995862],beta 0.5,temperature 1,nfactor 8,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.971 ± 0.000,[0.97088952 0.97088775 0.97106452 0.97056385 0.9705535 ],beta 0.5,temperature 1,nfactor 9,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.971 ± 0.000,[0.97135155 0.97098575 0.97114186 0.97038614 0.97082612],beta 0.5,temperature 1,nfactor 10,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.972 ± 0.000,[0.97250255 0.97285655 0.97241742 0.97219771 0.97173643],beta 0.5,temperature 1,nfactor 15,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
0.973 ± 0.001,[0.97390628 0.97261878 0.9730474  0.97317104 0.97146921],beta 0.5,temperature 1,nfactor 20,nhidden 256,nembed 32,layer 1,dataset fb100,sub_dataset Amherst41,run 5,epochs 2000,lr 0.0001,miniid 2,m 5
